open,high,low,close,barSize,date
122.945,122.955,122.945,122.9525,MIN_15,2015-06-18 14:45:00
122.9525,122.9725,122.8925,122.9525,MIN_15,2015-06-18 15:00:00
122.9525,122.9675,122.93,122.935,MIN_15,2015-06-18 15:15:00
122.935,122.935,122.895,122.915,MIN_15,2015-06-18 15:30:00
122.915,122.97,122.91,122.935,MIN_15,2015-06-18 15:45:00
122.935,122.99,122.9275,122.985,MIN_15,2015-06-18 16:00:00
122.985,123.0475,122.98,123.0475,MIN_15,2015-06-18 16:15:00
123.0475,123.065,123.01,123.0275,MIN_15,2015-06-18 16:30:00
123.0275,123.07,122.9875,123.005,MIN_15,2015-06-18 16:45:00
123.005,123.09,123.0025,123.025,MIN_15,2015-06-18 17:00:00
123.025,123.0475,122.9625,122.975,MIN_15,2015-06-18 17:15:00
122.975,123.0075,122.9225,122.9825,MIN_15,2015-06-18 17:30:00
122.9825,122.995,122.8675,122.8825,MIN_15,2015-06-18 17:45:00
122.8825,122.9225,122.8175,122.8975,MIN_15,2015-06-18 18:00:00
122.8975,122.9425,122.8775,122.935,MIN_15,2015-06-18 18:15:00
122.935,122.9725,122.9125,122.955,MIN_15,2015-06-18 18:30:00
122.955,122.9875,122.9325,122.9575,MIN_15,2015-06-18 18:45:00
122.9575,122.9575,122.915,122.925,MIN_15,2015-06-18 19:00:00
122.925,122.9525,122.9075,122.9375,MIN_15,2015-06-18 19:15:00
122.9375,122.9725,122.925,122.9475,MIN_15,2015-06-18 19:30:00
122.9475,122.9775,122.9225,122.9425,MIN_15,2015-06-18 19:45:00
122.9425,123.05,122.8575,123.0025,MIN_15,2015-06-18 20:00:00
123.0025,123.0225,122.9725,122.9875,MIN_15,2015-06-18 20:15:00
